t,omega_req,omega_est,T_avg,omega_opt,omega_out,T_stack,v_stack,Tg_cmd,vg_cmd
0.0,0.3218,0.3218,873.00340724,0.3199941422586988,0.3199941422586988,959.6865293400001,18.4041662,255.0,3.920784484085959
1.0,0.3218,0.3218,873.00340724,0.3199941422586988,0.3199941782321613,959.6865293400001,18.4041662,255.0,3.920784484085959
2.0,0.3218,0.3218,873.00340724,0.3199941422586988,0.31999429394860196,959.6865293400001,18.4041662,294.99999999999983,4.126585663388914
3.0,0.3218,0.3218,873.00340724,0.3199941422586988,0.31999452190895233,959.6865293400001,18.4041662,295.0,4.126585663388915
4.0,0.3218,0.3218,873.00340724,0.3199941422586988,0.3199949017262413,959.6865293400001,18.4041662,334.99999999999926,4.126585663388915
5.0,0.3218,0.3217977193013877,873.006397151951,0.3199941422586988,0.3199954576820835,959.6898163368927,18.40421530572182,335.0,4.126585663388915
6.0,0.3218,0.32177564986946955,873.0353293650406,0.3199941422586988,0.31999617007816544,959.7216233252187,18.40469048266045,375.0,4.126585663388915
7.0,0.3218,0.3217522023412629,873.0660682116504,0.3199941422586988,0.3199970345137926,959.7554164585764,18.405195331390267,375.0,4.126585663388915
8.0,0.3218,0.3217290470073423,873.0964240023042,0.3199941422586988,0.31999803580752706,959.7887884746043,18.40569388888491,415.0,4.126585663388915
9.0,0.3218,0.3217062004424588,873.1263750081127,0.3199941422586988,0.31999917231758274,959.8217154853779,18.406185798273416,415.0,4.126585663388915
10.0,0.3218,0.321683660891312,873.1559235302108,0.3199941422586988,0.3200004389159046,959.8542000206781,18.40667109734916,455.0,4.126585663388915
11.0,0.3218,0.3216614266196076,873.185071842194,0.3199941422586988,0.3200018396866149,959.8862445800107,18.407149823453228,455.0,4.126585663388915
12.0,0.3218,0.3216394955261005,873.2138226987175,0.3199941422586988,0.3200033695049618,959.91785219174,18.407622021827528,476.10305392371237,4.126585663388915
13.0,0.3218,0.32161786563263367,873.2421786930724,0.3199941422586988,0.32000502032819095,959.9490257068329,18.408087735063763,476.10305392371237,4.126585663388915
14.0,0.3218,0.3215965346559393,873.2701428185388,0.3199941422586988,0.3200067722758517,959.9797684159889,18.40854701232297,476.10305392371237,4.126585663388915
15.0,0.3218,0.32157550050352074,873.2977178183028,0.3199941422586988,0.32000860386737034,960.0100833349641,18.408999898658692,476.10305392371237,4.126585663388915
16.0,0.3218,0.3215547609089826,873.3249066635252,0.3199941422586988,0.3200104788484243,960.0399737301408,18.409446442868692,476.10305392371237,4.126585663388915
17.0,0.3218,0.321534313823063,873.3517120407131,0.3199941422586988,0.3200123762335602,960.0694425549641,18.40988668907563,476.10305392371237,4.126585663388915
18.0,0.3218,0.32151415696958136,873.3781369338553,0.3199941422586988,0.3200142769697748,960.0984930899192,18.410320686287942,476.10305392371237,4.126585663388915
19.0,0.3218,0.3214942880657417,873.4041843356134,0.3199941422586988,0.3200161702183093,960.127128625026,18.410748483656512,476.10305392371237,4.126585663388915
20.0,0.3218,0.3214747044710337,873.4298577075992,0.3199941422586988,0.3200180560028628,960.1553529658503,18.41117013803417,476.10305392371237,4.126585663388915
21.0,0.3218,0.3214554032926197,873.4551608422167,0.3199941422586988,0.3200199343470638,960.1831702816185,18.411585711706604,476.10305392371237,4.126585663388915
22.0,0.3218,0.32143638120646023,873.480098097159,0.3199941422586988,0.3200218052744702,960.2105853630151,18.411995276243704,476.10305392371237,4.126585663388915
23.0,0.3218,0.3214176347355867,873.5046740306041,0.3199941422586988,0.3200236688085696,960.2376032211293,18.41239890650808,476.10305392371237,4.126585663388915
24.0,0.3218,0.3213991602017865,873.5288934645533,0.3199941422586988,0.3200255249727798,960.2642291570886,18.412796681695333,476.10305392371237,4.126585663388915
25.0,0.3218,0.32138095392521937,873.5527612231418,0.3199941422586988,0.3200273737904488,960.2904684743659,18.4131886810361,476.10305392371237,4.126585663388915
26.0,0.3218,0.3213630122739792,873.5762820676649,0.3199941422586988,0.3200292152848546,960.3163264073503,18.413574982728953,476.10305392371237,4.126585663388915
27.0,0.3218,0.32134533166430423,873.5994606963025,0.3199941422586988,0.3200310494792058,960.3418081210444,18.413955663935866,476.10305392371237,4.126585663388915
28.0,0.3218,0.32132790855995097,873.6223017449393,0.3199941422586988,0.32003287639664185,960.3669187119659,18.414330800795693,476.10305392371237,4.126585663388915
29.0,0.3218,0.3213107394715679,873.644809787987,0.3199941422586988,0.32003469606023305,960.391663209051,18.41470046843767,476.10305392371237,4.126585663388915
30.0,0.3218,0.3212938209560765,873.666989339195,0.3199941422586988,0.32003650849298104,960.416046574546,18.415064740994715,476.10305392371237,4.126585663388915
31.0,0.3218,0.3212771496160608,873.6888448524502,0.3199941422586988,0.3200383137178187,960.4400737048874,18.415423691616592,476.10305392371237,4.126585663388915
32.0,0.3218,0.32126072209916534,873.7103807225675,0.3199941422586988,0.3200401117576105,960.4637494315693,18.41577739248287,476.10305392371237,4.126585663388915
33.0,0.3218,0.3212445350975001,873.7316012860689,0.3199941422586988,0.32004190263515253,960.4870785220012,18.416125914815723,476.10305392371237,4.126585663388915
34.0,0.3218,0.3212285853470543,873.7525108219526,0.3199941422586988,0.3200436863731732,960.5100656803527,18.41646932889257,476.10305392371237,4.126585663388915
35.0,0.3218,0.3212128696271172,873.7731135524516,0.3199941422586988,0.32004546299433245,960.5327155483885,18.416807704058538,476.10305392371237,4.126585663388915
